,Customer_ID,Card_type,City,Gender,Credit_limit,Balance,Payments,Purchases,Oneoff_purchases,Installment_purchases,Cash_advance,Purchase_frequency,Oneoff_purchase_frequency,Purchase_installment_frequency
0,C10001,Silver,Pune,Female,1000.0,40.900749,201.802084,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333
1,C10002,Gold,Kolkata,Male,7000.0,3202.467416,4103.032597,0.0,0.0,0.0,2784.5528481250003,0.0,0.0,0.0
2,C10003,Gold,Kolkata,Male,7500.0,2495.148862,622.066742,773.17,773.17,0.0,0.0,1.0,0.75,0.0
3,C10004,Gold,Kolkata,Male,7500.0,1666.670542,0.0,1499.0,1443.5124999999998,0.0,205.788017,0.083333,0.083333,0.0
4,C10005,Silver,Pune,Female,1200.0,817.714335,678.334763,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0
5,C10006,Silver,Pune,Female,1800.0,1809.828751,1400.05777,1333.28,0.0,1171.59375,0.0,0.666667,0.0,0.583333
6,C10007,Platinum,Delhi,Male,13500.0,627.260806,4177.921542875,2715.8725000000004,1443.5124999999998,688.38,0.0,1.0,0.75,1.0
7,C10008,Silver,Pune,Female,2300.0,1823.652743,679.065082,436.2,0.0,436.2,0.0,1.0,0.0,1.0
8,C10009,Gold,Kolkata,Male,7000.0,1014.926473,688.278568,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25
9,C10010,Platinum,Bengaluru,Male,11000.0,152.225975,1164.770591,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0
10,C10011,Silver,Pune,Female,1200.0,1293.124939,1083.301007,920.12,0.0,920.12,0.0,1.0,0.0,1.0
11,C10012,Silver,Pune,Female,2000.0,630.794744,705.618627,1492.18,1443.5124999999998,0.0,0.0,0.25,0.25,0.0
12,C10013,Silver,Chennai,Male,3000.0,1516.92862,608.263689,2715.8725000000004,1443.5124999999998,717.76,0.0,1.0,0.25,0.916667
13,C10014,Gold,Kolkata,Male,7500.0,921.693369,1655.891435,2137.93,419.96,1171.59375,0.0,0.75,0.166667,0.75
14,C10015,Silver,Chennai,Male,3000.0,2772.772734,805.647974,0.0,0.0,0.0,346.81139,0.0,0.0,0.0
15,C10016,Gold,Bengaluru,Female,8000.0,4942.9272155,1993.439277,1611.7,0.0,1171.59375,2301.491267,0.5,0.0,0.5
16,C10017,Silver,Chennai,Male,3000.0,2072.074354,391.974562,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0
17,C10018,Silver,Pune,Male,2500.0,41.089489,254.590662,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333
18,C10019,Platinum,Delhi,Male,13000.0,1989.072228,1720.837373,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333
